"project","class","avg_ccn","sum_string_args","sum_number_args"
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$RegionSizeProperties",1,0,1
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$UnionOperator",3,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTree$XorOperator",3,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTreeBooleanTest",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.AbstractRegionBSPTreeTest",2,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPSubtree",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTree",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTree$Node",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTreePrinter",2.33333333333333,1,1
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTreeVisitor",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTreeVisitor$ClosestFirstVisitor",1.5,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTreeVisitor$FarthestFirstVisitor",1.5,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTreeVisitor$TargetPointVisitor",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTreeVisitorTest",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTreeVisitorTest$ClosestFirstStubVisitor",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.BSPTreeVisitorTest$FarthestFirstStubVisitor",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.MergeChecker",1.27272727272727,0,1
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.MergeChecker$Operation",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.bsp.RegionCutBoundary",2.57142857142857,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.Hyperplane",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.HyperplaneConvexSubset",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.HyperplaneSubset",1.5,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.Split",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.Splittable",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.AttributeBSPTree",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.AttributeBSPTree$AttributeNode",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.PartitionTestUtils",1.25,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestBSPTree",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestBSPTree$TestNode",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestLine",1.8,0,11
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestLineSegment",3.44444444444444,0,6
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestLineSegmentCollection",3,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestPoint1D",1,0,1
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestPoint2D",1,0,2
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestRegionBSPTree",1.25,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestRegionBSPTree$TestRegionNode",1,0,0
"Geometry","org.apache.commons.geometry.core.partitioning.test.TestTransform2D",1.5,0,0
"Geometry","org.apache.commons.geometry.core.Point",1,0,0
"Geometry","org.apache.commons.geometry.core.precision.DoublePrecisionContext",1.77777777777778,0,16
"Geometry","org.apache.commons.geometry.core.precision.DoublePrecisionContextTest$StubContext",1,0,2
"Geometry","org.apache.commons.geometry.core.precision.EpsilonDoublePrecisionContext",2.66666666666667,0,3
"Geometry","org.apache.commons.geometry.core.precision.EpsilonDoublePrecisionContextTest",2,0,4
"Geometry","org.apache.commons.geometry.core.Region",1.66666666666667,0,0
"Geometry","org.apache.commons.geometry.core.SizedTest$StubSized",1,0,1
"Geometry","org.apache.commons.geometry.core.Vector",1,0,4
"Geometry","org.apache.commons.geometry.enclosing.Encloser",1,0,0
"Geometry","org.apache.commons.geometry.enclosing.EnclosingBall",1.33333333333333,0,1
"Geometry","org.apache.commons.geometry.enclosing.euclidean.threed.SphereGenerator",2.33333333333333,0,0
"Geometry","org.apache.commons.geometry.enclosing.euclidean.threed.WelzlEncloser3D",1,0,0
"Geometry","org.apache.commons.geometry.enclosing.euclidean.threed.WelzlEncloser3DTest",5.5,0,1
"Geometry","org.apache.commons.geometry.enclosing.euclidean.twod.DiskGenerator",2.5,0,0
"Geometry","org.apache.commons.geometry.enclosing.euclidean.twod.WelzlEncloser2D",1,0,0
"Geometry","org.apache.commons.geometry.enclosing.euclidean.twod.WelzlEncloser2DTest",5,0,0
"Geometry","org.apache.commons.geometry.enclosing.SupportBallGenerator",1,0,0
"Geometry","org.apache.commons.geometry.enclosing.WelzlEncloser",3.2,0,1
"Geometry","org.apache.commons.geometry.euclidean.AbstractAffineTransformMatrix",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.AbstractBounds",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.AbstractLinecastPoint",2.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.AbstractNSphere",3.16666666666667,0,1
"Geometry","org.apache.commons.geometry.euclidean.EuclideanTestUtils",2.44444444444444,0,23
"Geometry","org.apache.commons.geometry.euclidean.EuclideanTestUtils$PermuteCallback2D",1,0,2
"Geometry","org.apache.commons.geometry.euclidean.EuclideanTestUtils$PermuteCallback3D",1,0,3
"Geometry","org.apache.commons.geometry.euclidean.EuclideanTransform",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.EuclideanVector",1,0,1
"Geometry","org.apache.commons.geometry.euclidean.internal.AbstractPathConnector",4.375,0,0
"Geometry","org.apache.commons.geometry.euclidean.internal.AbstractPathConnector$ConnectableElement",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.internal.Matrices",1.4,1,15
"Geometry","org.apache.commons.geometry.euclidean.internal.Vectors",1.3,0,14
"Geometry","org.apache.commons.geometry.euclidean.MultiDimensionalEuclideanVector",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.oned.AffineTransformMatrix1D",1.31578947368421,0,6
"Geometry","org.apache.commons.geometry.euclidean.oned.AffineTransformMatrix1DTest",1.75,0,3
"Geometry","org.apache.commons.geometry.euclidean.oned.AffineTransformMatrix1DTest$Coordinate1DTest",1,0,1
"Geometry","org.apache.commons.geometry.euclidean.oned.Interval",4.4,0,10
"Geometry","org.apache.commons.geometry.euclidean.oned.IntervalTest",1.83333333333333,0,6
"Geometry","org.apache.commons.geometry.euclidean.oned.OrientedPoint",1.9,0,2
"Geometry","org.apache.commons.geometry.euclidean.oned.OrientedPoint$OrientedPointConvexSubset",1.6,0,0
"Geometry","org.apache.commons.geometry.euclidean.oned.OrientedPoints",1.28571428571429,0,3
"Geometry","org.apache.commons.geometry.euclidean.oned.OrientedPointTest",2.33333333333333,0,1
"Geometry","org.apache.commons.geometry.euclidean.oned.RegionBSPTree1D",1.83333333333333,0,2
"Geometry","org.apache.commons.geometry.euclidean.oned.RegionBSPTree1D$BoundaryPair",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.oned.RegionBSPTree1D$BoundaryProjector1D",3,0,0
"Geometry","org.apache.commons.geometry.euclidean.oned.RegionBSPTree1D$NodeRegionVisitor",5,0,0
"Geometry","org.apache.commons.geometry.euclidean.oned.RegionBSPTree1D$RegionNode1D",5.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.oned.RegionBSPTree1D$RegionSizePropertiesVisitor",3,0,0
"Geometry","org.apache.commons.geometry.euclidean.oned.RegionBSPTree1DTest",1.4,0,6
"Geometry","org.apache.commons.geometry.euclidean.oned.Vector1D",1.21739130434783,1,17
"Geometry","org.apache.commons.geometry.euclidean.oned.Vector1D$Unit",1.5,0,3
"Geometry","org.apache.commons.geometry.euclidean.oned.Vector1DTest",1,0,1
"Geometry","org.apache.commons.geometry.euclidean.testio.TestOBJWriter",1.66666666666667,5,1
"Geometry","org.apache.commons.geometry.euclidean.threed.AbstractConvexPolygon3D",7,0,2
"Geometry","org.apache.commons.geometry.euclidean.threed.AbstractEmbeddedRegionPlaneSubset",1.16666666666667,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.AbstractPlaneSubset",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.AffineTransformMatrix3D",1.61538461538462,0,25
"Geometry","org.apache.commons.geometry.euclidean.threed.AffineTransformMatrix3DTest",1.5,0,0
