file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/twod/Line.java,org.apache.commons.geometry.euclidean.twod.Line$SubspaceTransform,innerclass,2,3,1,0,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,36,25,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/twod/RegionBSPTree2D.java,org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D$RegionNode2D,innerclass,7,5,3,7,3,0.0,0.0,3,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,19,2,1,1,0,1,0,0,6,0,4,1,0,0,0,39,25,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/twod/RegionBSPTree2D.java,org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D,class,25,34,9,48,274,0.0043290043,0.0043290043,24,5,19,2,3,0,22,0,0,0,1,0,0,1,0,0,0,0,10,275,21,1,1,0,3,0,9,24,7,19,2,0,4,2,182,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/twod/RegionBSPTree2D.java,org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D$BoundaryProjector2D,innerclass,3,3,4,1,1,0.0,0.0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,1,0,1,0,0,0,0,22,26,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/twod/RegionBSPTree2D.java,org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D$PartitionedRegionBuilder2D,innerclass,13,12,2,15,45,0.0,0.0,10,0,8,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,49,8,1,0,1,0,0,3,3,1,3,1,0,0,0,260,25,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/twod/RegionBSPTree2D.java,org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D$LinecastVisitor,innerclass,17,20,1,23,1,0.4,0.6,6,0,4,1,0,1,5,0,0,0,4,0,0,4,0,0,3,0,2,64,7,0,2,0,1,0,3,21,0,16,4,0,0,0,100,26,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/AbstractAffineTransformMatrix.java,org.apache.commons.geometry.euclidean.AbstractAffineTransformMatrix,class,5,8,1,3,21,0.0,0.0,7,0,7,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,1,0,0,0,0,0,0,0,98,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/MultiDimensionalEuclideanVector.java,org.apache.commons.geometry.euclidean.MultiDimensionalEuclideanVector,class,3,4,2,0,6,0.0,0.0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/EuclideanVector.java,org.apache.commons.geometry.euclidean.EuclideanVector,class,6,6,1,3,15,0.0,0.0,6,0,5,0,1,0,6,4,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-euclidean/src/main/java/org/apache/commons/geometry/euclidean/AbstractBounds.java,org.apache.commons.geometry.euclidean.AbstractBounds,class,6,13,1,11,38,0.25641027,0.26923078,13,0,12,0,1,0,13,6,0,0,2,0,0,2,0,0,2,0,0,34,6,0,0,0,0,2,1,3,0,3,0,0,0,0,155,1025,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-examples/examples-tutorials/src/test/java/org/apache/commons/geometry/examples/tutorials/bsp/BSPTreeTutorialsTest.java,org.apache.commons.geometry.examples.tutorials.bsp.BSPTreeTutorialsTest,class,8,7,1,7,0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,1,1,0,1,0,0,1,0,7,24,0,0,0,0,0,1,0,1,0,1,0,0,0,0,22,1,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-examples/examples-tutorials/src/main/java/org/apache/commons/geometry/examples/tutorials/bsp/HexagonUnbalanced.java,org.apache.commons.geometry.examples.tutorials.bsp.HexagonUnbalanced,class,8,3,1,9,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,2,21,5,0,5,0,0,0,0,50,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-examples/examples-tutorials/src/main/java/org/apache/commons/geometry/examples/tutorials/bsp/HexagonPartitionedRegion.java,org.apache.commons.geometry.examples.tutorials.bsp.HexagonPartitionedRegion,class,9,3,1,10,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,2,20,5,0,5,0,0,0,0,52,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-examples/examples-tutorials/src/main/java/org/apache/commons/geometry/examples/tutorials/bsp/HexagonStructuralCut.java,org.apache.commons.geometry.examples.tutorials.bsp.HexagonStructuralCut,class,10,3,1,10,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,3,19,5,0,5,0,0,0,0,54,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-examples/examples-tutorials/src/main/java/org/apache/commons/geometry/examples/tutorials/bsp/BSPTreeUnion.java,org.apache.commons.geometry.examples.tutorials.bsp.BSPTreeUnion,class,9,3,1,8,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,2,19,6,0,6,0,0,0,0,48,17,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-geometry/commons-geometry-examples/examples-tutorials/src/main/java/org/apache/commons/geometry/examples/tutorials/bsp/TopDownBSPTreeConstruction.java,org.apache.commons.geometry.examples.tutorials.bsp.TopDownBSPTreeConstruction,class,13,3,1,14,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,22,44,0,0,0,0,0,13,28,20,0,20,0,0,0,0,85,17,0
