file,class,method,variable,usage
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",l_hashsetvbitsettest0_0,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",realTime,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",notifyControl,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",b,2
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",benchmarkParams,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",iterationParams,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",control,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",threadParams,0
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",batchSize,1
/Users/pooria/Documents/repos/SSBSE-Research-2021-replication/subjects/scripts/../components/code/commons-lang/target/generated-test-sources/test-annotations/org/apache/commons/lang3/jmh_generated/HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest.java,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_timeBitSetRemoveAll_jmhTest,"timeBitSetRemoveAll_ss_jmhStub/10[org.apache.commons.lang3.jmh_generated.InfraControl,org.apache.commons.lang3.jmh_generated.RawResults,org.apache.commons.lang3.jmh_generated.BenchmarkParams,org.apache.commons.lang3.jmh_generated.IterationParams,org.apache.commons.lang3.jmh_generated.ThreadParams,org.apache.commons.lang3.jmh_generated.Blackhole,org.apache.commons.lang3.jmh_generated.Control,int,int,org.apache.commons.lang3.jmh_generated.HashSetvBitSetTest_jmhType]",blackhole,1
